line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr     10^53 g cm2/s

 20  0.262118896343019E+07   21.871204  4.810169  4.548882  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.4352  4.548882   -7.224  0.679789  7.580992  0.5595163E+00  0.4267910E+00  5.9039693E-05  1.6112298E-05  8.0805801E-03  2.3208659E-04  7.1820748E-07  7.4324423E-10  1.8554820E-03  1.9126771E-07  1.163E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.078082  0.0000000E+00  0.0000000000E+00
 21  0.273418808899390E+07   21.864396  4.814415  4.548095  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.4322  4.548095   -7.216  0.680234  7.581777  0.5512890E+00  0.4350202E+00  5.9278390E-05  1.6178058E-05  8.0933281E-03  2.1716543E-04  6.6792292E-07  6.9440997E-10  1.8544954E-03  2.0731715E-07  1.118E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.078874  0.0000000E+00  0.0000000000E+00
 22  0.284542945038217E+07   21.857572  4.818799  4.547313  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.4305  4.547313   -7.208  0.680748  7.582781  0.5430482E+00  0.4432625E+00  5.9721612E-05  1.6302631E-05  8.1035840E-03  2.0474541E-04  6.1976300E-07  6.5277809E-10  1.8535032E-03  2.2635970E-07  1.074E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.079699  0.0000000E+00  0.0000000000E+00
 23  0.295390861092333E+07   21.850790  4.823154  4.546465  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.4273  4.546465   -7.200  0.681386  7.583544  0.5348323E+00  0.4514796E+00  5.9943261E-05  1.6363082E-05  8.1123040E-03  1.9444273E-04  5.8484705E-07  6.1896266E-10  1.8525094E-03  2.4677948E-07  1.032E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.080527  0.0000000E+00  0.0000000000E+00
 24  0.306238777146448E+07   21.843886  4.827398  4.545628  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.4244  4.545628   -7.192  0.682032  7.584487  0.5264672E+00  0.4598457E+00  6.0164103E-05  1.6424122E-05  8.1196304E-03  1.8572829E-04  5.5485524E-07  5.9020750E-10  1.8514932E-03  2.6850236E-07  9.909E-06  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.081344  0.0000000E+00  0.0000000000E+00
 25  0.316634696698309E+07   21.837152  4.831659  4.544800  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.4213  4.544800   -7.185  0.682769  7.585388  0.5182896E+00  0.4680241E+00  6.0376975E-05  1.6481960E-05  8.1255497E-03  1.7863177E-04  5.3013016E-07  5.6676891E-10  1.8504945E-03  2.9178758E-07  9.521E-06  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.082171  0.0000000E+00  0.0000000000E+00
 26  0.327030616250169E+07   21.830295  4.836045  4.543853  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.4195  4.543853   -7.177  0.683676  7.586188  0.5099428E+00  0.4763717E+00  6.0571971E-05  1.6536404E-05  8.1305664E-03  1.7259133E-04  5.0893143E-07  5.4672689E-10  1.8494702E-03  3.1618843E-07  9.141E-06  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.083031  0.0000000E+00  0.0000000000E+00
 27  0.337155337900677E+07   21.823501  4.840169  4.543033  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.4166  4.543033   -7.170  0.684435  7.587323  0.5016388E+00  0.4846763E+00  6.1007341E-05  1.6658942E-05  8.1343466E-03  1.6756171E-04  4.8580031E-07  5.2901113E-10  1.8484452E-03  3.4625916E-07  8.778E-06  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.083850  0.0000000E+00  0.0000000000E+00
 28  0.346918462349380E+07   21.816833  4.844412  4.542148  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.4142  4.542148   -7.162  0.685474  7.588383  0.4933697E+00  0.4929458E+00  6.1226336E-05  1.6719043E-05  8.1377351E-03  1.6333810E-04  4.7003869E-07  5.1470799E-10  1.8474169E-03  3.8136670E-07  8.441E-06  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.084699  0.0000000E+00  0.0000000000E+00
 29  0.356478188372068E+07   21.810195  4.848633  4.541207  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.4117  4.541207   -7.155  0.686527  7.589382  0.4851185E+00  0.5011973E+00  6.1437951E-05  1.6777057E-05  8.1405374E-03  1.5979485E-04  4.5651862E-07  5.0264394E-10  1.8463850E-03  4.1495038E-07  8.116E-06  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.085552  0.0000000E+00  0.0000000000E+00
